TEAM_ID,SEASON,PM_PRE,PM_POST,DELTA_PM,WR_PRE,WR_POST,DELTA_WR,N_GAMES_PRE,N_GAMES_POST,TEAM_ABB,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_SCREEN_ASSISTS,DELTA_CHARGES_DRAWN,INACTIVE_RATE_PRE,INACTIVE_RATE_POST,DELTA_INACTIVE_RATE,TOP5_MIN_PRE,TOP5_MIN_POST,DELTA_TOP5_MIN_AVG,MIN_CONC_PRE,MIN_CONC_POST,DELTA_MIN_CONC,ROOKIE_MIN_SHARE_PRE,ROOKIE_MIN_SHARE_POST,DELTA_ROOKIE_MIN_SHARE,ROSTER_AGE,WINS,WIN_RANK,VEGAS_WINS,UNDERPERFORMANCE,GROUND_TRUTH,TEAM_NAME,BOTTOM8,TANKING
1610612737,2016-17,-0.4642857142857143,-1.6923076923076923,-1.228021978021978,0.5714285714285714,0.4230769230769231,-0.1483516483516483,56,26,ATL,1.2800000000000011,2.0899999999999963,2.079999999999999,-1.6399999999999988,0.2400000000000001,0.0428571428571428,0.1846153846153846,0.1417582417582417,29.395522388059703,30.764150943396228,1.3686285553365245,0.537967768369298,0.5215096753558291,-0.0164580930134689,0.0,0.0,0.0,28.453108535300316,43,19.0,43.5,-0.5,0,Atlanta Hawks,0,0
1610612738,2016-17,2.754385964912281,2.36,-0.3943859649122809,0.6491228070175439,0.64,-0.0091228070175438,57,25,BOS,0.2800000000000011,-0.0499999999999971,0.2699999999999996,-0.3099999999999987,-0.4,0.175438596491228,0.08,-0.095438596491228,33.12340425531915,30.991304347826087,-2.132099907493064,0.5651637261308357,0.5932090545938749,0.0280453284630392,0.0770347781892107,0.0582556591211717,-0.018779119068039,26.24439461883408,53,27.0,52.5,0.5,0,Boston Celtics,0,0
1610612739,2016-17,5.381818181818182,-1.2962962962962965,-6.678114478114479,0.7090909090909091,0.4444444444444444,-0.2646464646464647,55,27,CLE,-2.799999999999999,3.039999999999999,0.8900000000000006,1.8999999999999984,0.32,0.1890909090909091,0.2444444444444444,0.0553535353535353,33.2017937219731,32.627450980392155,-0.5743427415809421,0.5197248350414151,0.51532982347476,-0.0043950115666551,0.0002807805699845,0.003716320842366,0.0034355402723815,30.387238723872382,51,23.0,56.5,-5.5,0,Cleveland Cavaliers,0,0
1610612740,2016-17,-3.1403508771929824,0.28,3.4203508771929823,0.4035087719298245,0.44,0.0364912280701754,57,25,NOP,-0.5599999999999987,-2.030000000000001,2.1599999999999993,-0.2899999999999991,0.02,0.3192982456140351,0.096,-0.223298245614035,31.562753036437247,31.699115044247787,0.1363620078105398,0.6885709238650415,0.6156754898590581,-0.0728954340059834,0.0,0.0084221381918184,0.0084221381918184,26.71875,34,10.0,36.5,-2.5,0,New Orleans Pelicans,0,0
1610612741,2016-17,-0.6666666666666666,2.92,3.5866666666666664,0.4912280701754385,0.52,0.0287719298245614,57,25,CHI,-0.2299999999999986,0.3900000000000005,1.96,-0.3199999999999994,0.24,0.1157894736842105,0.168,0.0522105263157894,28.797619047619047,30.221153846153847,1.4235347985347993,0.5660686427457098,0.5185612935159215,-0.0475073492297882,0.1794851794071763,0.2034317769344992,0.0239465975273229,26.432919954904172,41,14.0,39.0,2.0,0,Chicago Bulls,0,0
1610612742,2016-17,-2.2857142857142856,-4.3076923076923075,-2.021978021978022,0.3928571428571428,0.4230769230769231,0.0302197802197802,56,26,DAL,0.0299999999999993,0.3999999999999986,1.8200000000000005,-2.1999999999999993,-0.4199999999999999,0.2821428571428571,0.1461538461538461,-0.1359890109890109,31.327014218009477,30.09009009009009,-1.2369241279193872,0.547865727310402,0.5332907552291234,-0.0145749720812785,0.0552838789888106,0.0380009580073447,-0.0172829209814658,27.82239819004525,33,9.0,39.5,-6.5,0,Dallas Mavericks,0,0
1610612743,2016-17,-1.1785714285714286,4.153846153846154,5.332417582417583,0.4464285714285714,0.5769230769230769,0.1304945054945054,56,26,DEN,0.33,0.7999999999999972,0.4299999999999997,1.3000000000000007,-0.04,0.225,0.1769230769230769,-0.048076923076923,29.93548387096774,31.327102803738317,1.3916189327705766,0.4402575398170111,0.5364058249319891,0.0961482851149779,0.1730938664859369,0.1424227876460233,-0.0306710788399136,26.08916478555305,40,13.0,37.0,3.0,0,Denver Nuggets,0,0
1610612744,2016-17,12.821428571428571,9.076923076923077,-3.7445054945054945,0.8392857142857143,0.7692307692307693,-0.070054945054945,56,26,GSW,0.1499999999999985,-3.5200000000000102,2.0600000000000005,-2.08,-0.06,0.0285714285714285,0.2384615384615384,0.2098901098901099,32.07720588235294,31.373737373737377,-0.7034685086155683,0.5901650432900433,0.4982354828360603,-0.0919295604539829,0.0269886363636363,0.0073788899582932,-0.0196097464053431,28.95162882527147,67,30.0,66.5,0.5,0,Golden State Warriors,0,0
1610612745,2016-17,6.448275862068965,4.125,-2.3232758620689653,0.6896551724137931,0.625,-0.0646551724137931,58,24,HOU,1.7799999999999994,-1.999999999999993,2.0900000000000007,0.6199999999999992,0.2299999999999999,0.0793103448275862,0.1,0.0206896551724137,32.80149812734082,32.03703703703704,-0.764461090303783,0.6034173901061044,0.6002775850104094,-0.003139805095695,0.1395893619953148,0.0801526717557251,-0.0594366902395896,27.59425717852684,55,28.0,44.0,11.0,0,Houston Rockets,0,0
1610612746,2016-17,3.803571428571429,5.346153846153846,1.5425824175824174,0.625,0.6153846153846154,-0.0096153846153845,56,26,LAC,-1.7599999999999998,-1.9299999999999995,1.2300000000000004,-0.3100000000000005,0.31,0.1607142857142857,0.0769230769230769,-0.0837912087912088,30.170212765957448,31.1,0.9297872340425536,0.5252240906733832,0.5955952760932014,0.0703711854198182,0.0,0.0,0.0,30.752314814814813,51,23.0,53.5,-2.5,0,Los Angeles Clippers,0,0
1610612747,2016-17,-6.275862068965517,-8.333333333333334,-2.057471264367817,0.3275862068965517,0.2916666666666667,-0.035919540229885,58,24,LAL,1.8900000000000008,0.3699999999999903,1.3000000000000007,-0.8100000000000005,-0.08,0.096551724137931,0.2333333333333333,0.1367816091954023,27.38167938931298,31.880434782608695,4.498755393295717,0.5470072436141822,0.5071762061213902,-0.0398310374927919,0.151200914982844,0.2197821200069168,0.0685812050240727,25.844419391206312,26,3.0,24.5,1.5,0,Los Angeles Lakers,1,0
1610612748,2016-17,-1.0,5.76,6.76,0.4385964912280701,0.64,0.2014035087719298,57,25,MIA,1.1899999999999995,-0.5499999999999972,0.4200000000000008,0.7000000000000011,0.18,0.256140350877193,0.12,-0.136140350877193,32.20754716981132,30.21818181818182,-1.9893653516295016,0.5101613867304244,0.5522512045190231,0.0420898177885986,0.1644500896592946,0.1776042531982057,0.013154163538911,27.255208333333332,41,14.0,34.5,6.5,0,Miami Heat,0,0
1610612749,2016-17,0.2727272727272727,-1.1111111111111112,-1.383838383838384,0.4545454545454545,0.6296296296296297,0.1750841750841751,55,27,MIL,-1.2199999999999989,-3.740000000000002,0.9000000000000004,0.8799999999999999,0.25,0.2072727272727272,0.2814814814814815,0.0742087542087542,30.587155963302752,32.103092783505154,1.515936820202402,0.4910885255560465,0.4796672828096118,-0.0114212427464346,0.0204006481072322,0.0278804682686383,0.007479820161406,26.309473684210527,42,17.0,34.5,7.5,0,Milwaukee Bucks,0,0
1610612750,2016-17,-0.8947368421052632,-1.6,-0.7052631578947369,0.3859649122807017,0.36,-0.0259649122807017,57,25,MIN,1.2599999999999998,1.3599999999999994,1.3499999999999996,-0.3000000000000007,-0.07,0.0561403508771929,0.208,0.151859649122807,35.014869888475836,35.73737373737374,0.722503848897901,0.6677773839064162,0.5846001321877066,-0.0831772517187096,0.2429634881247784,0.2589226701916722,0.0159591820668937,25.015776699029125,31,6.0,41.5,-10.5,0,Minnesota Timberwolves,1,0
1610612751,2016-17,-8.75,-2.3846153846153846,6.365384615384615,0.1607142857142857,0.4230769230769231,0.2623626373626373,56,26,BKN,0.3499999999999996,1.2800000000000011,1.6800000000000006,-0.2399999999999993,0.13,0.2107142857142857,0.1615384615384615,-0.0491758241758241,25.855203619909503,24.47706422018349,-1.3781393997260167,0.4937354186468504,0.427495593654863,-0.0662398249919874,0.0979002851464616,0.1007851305880467,0.0028848454415851,26.40507726269316,20,1.0,21.5,-1.5,0,Brooklyn Nets,1,0
