TEAM_ID,TEAM_NAME,TEAM_ABB,SEASON,WINS,VEGAS_WINS,UNDERPERFORMANCE,GROUND_TRUTH,TANK_PROB,DELTA_WR,DELTA_PM,TSI_WR,TSI_PM,TSI,TSI_FLAG
1610612737,Atlanta Hawks,ATL,2016-17,43,43.5,-0.5,0,0.005764512280175473,-0.1483516483516483,-1.228021978021978,78.21009184861384,57.73484120436919,67.97246652649152,Above Win Gate
1610612738,Boston Celtics,BOS,2016-17,53,52.5,0.5,0,0.025373917524701826,-0.0091228070175438,-0.3943859649122809,54.18807626914251,54.03567254021296,54.111874404677735,Above Win Gate
1610612739,Cleveland Cavaliers,CLE,2016-17,51,56.5,-5.5,0,0.0009466294640536111,-0.2646464646464647,-6.678114478114479,98.27515783693164,81.9190307979661,90.09709431744886,Above Win Gate
1610612740,New Orleans Pelicans,NOP,2016-17,34,36.5,-2.5,0,0.10686857400821949,0.0364912280701754,3.4203508771929823,46.31800386876739,37.10819488041415,41.71309937459077,Above Win Gate
1610612741,Chicago Bulls,CHI,2016-17,41,39.0,2.0,0,0.06413653446043603,0.0287719298245614,3.5866666666666664,47.64986227498471,36.3701867484472,42.010024511715955,Above Win Gate
1610612742,Dallas Mavericks,DAL,2016-17,33,39.5,-6.5,0,0.017724335779086966,0.0302197802197802,-2.021978021978022,47.40005566582657,61.25793434374054,54.32899500478355,Investigate
1610612743,Denver Nuggets,DEN,2016-17,40,37.0,3.0,0,0.012784087074701765,0.1304945054945054,5.332417582417583,30.099035347799884,28.623607928179656,29.361321637989768,Above Win Gate
1610612744,Golden State Warriors,GSW,2016-17,67,66.5,0.5,0,0.0031092416692023064,-0.070054945054945,-3.7445054945054945,64.70107598385326,68.90146167379532,66.80126882882429,Above Win Gate
1610612745,Houston Rockets,HOU,2016-17,55,44.0,11.0,0,0.00400304767661612,-0.0646551724137931,-2.3232758620689653,63.76941971731805,62.594910567314166,63.18216514231611,Above Win Gate
1610612746,Los Angeles Clippers,LAC,2016-17,51,53.5,-2.5,0,8.55464572509933e-05,-0.0096153846153845,1.5425824175824174,54.273063737371395,45.440587117670226,49.85682542752081,Above Win Gate
1610612747,Los Angeles Lakers,LAL,2016-17,26,24.5,1.5,0,0.16981892104114238,-0.035919540229885,-2.057471264367817,58.811482860317795,61.41543172625868,60.113457293288235,Investigate
1610612748,Miami Heat,MIA,2016-17,41,34.5,6.5,0,0.0006788171908345472,0.2014035087719298,6.76,17.864665190488054,22.288867032183372,20.076766111335715,Above Win Gate
1610612749,Milwaukee Bucks,MIL,2016-17,42,34.5,7.5,0,0.030719154767641622,0.1750841750841751,-1.383838383838384,22.405703080556872,58.426259469287245,40.41598127492206,Above Win Gate
1610612750,Minnesota Timberwolves,MIN,2016-17,31,41.5,-10.5,0,0.8607766647549071,-0.0259649122807017,-0.7052631578947369,57.09394915543486,55.415156094902216,56.25455262516854,Investigate
1610612751,Brooklyn Nets,BKN,2016-17,20,21.5,-1.5,0,0.02386290713782285,0.2623626373626373,6.365384615384615,7.347008628203125,24.039929656886837,15.69346914254498,No Action
1610612752,New York Knicks,NYK,2016-17,31,38.5,-7.5,0,0.06949587438664281,-0.0835087719298245,-1.7971929824561403,67.02234818360043,60.26047530730968,63.64141174545506,Investigate
1610612753,Orlando Magic,ORL,2016-17,29,37.5,-8.5,0,0.7811826721750161,-0.028735632183908,0.0445402298850572,57.57199864606773,52.08798553996575,54.82999209301674,Investigate
1610612754,Indiana Pacers,IND,2016-17,42,44.5,-2.5,0,0.016789175960489094,0.0112280701754385,2.272280701754386,50.67681319820594,42.202630761839984,46.439721980022966,Above Win Gate
1610612755,Philadelphia 76ers,PHI,2016-17,28,23.5,4.5,1,0.6224138965354309,-0.1057692307692307,-0.2774725274725282,70.86308322041072,53.516881944083785,62.189982582247254,Investigate
1610612756,Phoenix Suns,PHX,2016-17,24,29.5,-5.5,0,0.48995423383283443,-0.0757894736842105,-0.5838596491228074,65.69048977738309,54.87644129814997,60.28346553776653,Investigate
1610612757,Portland Trail Blazers,POR,2016-17,41,45.5,-4.5,0,0.43889111280815685,0.2815934065934066,7.188186813186814,4.029004731595251,20.38883486366289,12.20891979762907,Above Win Gate
1610612758,Sacramento Kings,SAC,2016-17,32,33.5,-1.5,0,0.13098804846766837,-0.1010526315789473,-3.800701754385965,70.04929910682162,69.15082643290305,69.60006276986233,Investigate
1610612759,San Antonio Spurs,SAS,2016-17,61,57.5,3.5,0,0.0003181785817727524,-0.0755494505494506,-3.664835164835165,65.64907709716981,68.54793329648817,67.098505196829,Above Win Gate
1610612760,Oklahoma City Thunder,OKC,2016-17,47,45.0,2.0,0,0.061854961433207796,0.0385964912280701,2.825263157894737,45.95476975798085,39.74883157200896,42.851800664994904,Above Win Gate
1610612761,Toronto Raptors,TOR,2016-17,51,50.5,0.5,0,0.10234123983251744,0.1410526315789473,0.2196491228070174,28.277376366369012,51.31095897282444,39.794167669596725,Above Win Gate
1610612762,Utah Jazz,UTA,2016-17,51,47.5,3.5,0,0.007232977713319048,0.0259649122807017,-1.983859649122807,48.13417442270011,61.08878823179579,54.61148132724795,Above Win Gate
1610612763,Memphis Grizzlies,MEM,2016-17,43,42.5,0.5,0,0.0023798616375368836,-0.2112068965517241,-2.751436781609195,89.05489768801932,64.49482783560897,76.77486276181415,Above Win Gate
1610612764,Washington Wizards,WAS,2016-17,49,42.5,6.5,0,0.05515934474435915,-0.0626262626262625,-3.022222222222222,63.41935932711166,65.69640862251487,64.55788397481327,Above Win Gate
1610612765,Detroit Pistons,DET,2016-17,37,44.5,-7.5,0,0.4733801192600987,-0.0736842105263157,-2.24140350877193,65.32725566659653,62.23161095091759,63.77943330875706,Above Win Gate
