TEAM_ID,SEASON,PM_PRE,PM_POST,DELTA_PM,WR_PRE,WR_POST,DELTA_WR,N_GAMES_PRE,N_GAMES_POST
1610612737,2016-17,-0.4642857142857143,-1.6923076923076923,-1.228021978021978,0.5714285714285714,0.4230769230769231,-0.14835164835164832,56,26
1610612738,2016-17,2.754385964912281,2.36,-0.39438596491228095,0.6491228070175439,0.64,-0.009122807017543866,57,25
1610612739,2016-17,5.381818181818182,-1.2962962962962963,-6.678114478114479,0.7090909090909091,0.4444444444444444,-0.2646464646464647,55,27
1610612740,2016-17,-3.1403508771929824,0.28,3.4203508771929823,0.40350877192982454,0.44,0.03649122807017546,57,25
1610612741,2016-17,-0.6666666666666666,2.92,3.5866666666666664,0.49122807017543857,0.52,0.02877192982456145,57,25
1610612742,2016-17,-2.2857142857142856,-4.3076923076923075,-2.021978021978022,0.39285714285714285,0.4230769230769231,0.030219780219780223,56,26
1610612743,2016-17,-1.1785714285714286,4.153846153846154,5.332417582417583,0.44642857142857145,0.5769230769230769,0.13049450549450542,56,26
1610612744,2016-17,12.821428571428571,9.076923076923077,-3.7445054945054945,0.8392857142857143,0.7692307692307693,-0.07005494505494503,56,26
1610612745,2016-17,6.448275862068965,4.125,-2.3232758620689653,0.6896551724137931,0.625,-0.06465517241379315,58,24
1610612746,2016-17,3.8035714285714284,5.346153846153846,1.5425824175824174,0.625,0.6153846153846154,-0.009615384615384581,56,26
1610612747,2016-17,-6.275862068965517,-8.333333333333334,-2.057471264367817,0.3275862068965517,0.2916666666666667,-0.03591954022988503,58,24
1610612748,2016-17,-1.0,5.76,6.76,0.43859649122807015,0.64,0.20140350877192986,57,25
1610612749,2016-17,0.2727272727272727,-1.1111111111111112,-1.3838383838383839,0.45454545454545453,0.6296296296296297,0.17508417508417512,55,27
1610612750,2016-17,-0.8947368421052632,-1.6,-0.7052631578947369,0.38596491228070173,0.36,-0.025964912280701746,57,25
1610612751,2016-17,-8.75,-2.3846153846153846,6.365384615384615,0.16071428571428573,0.4230769230769231,0.2623626373626373,56,26
1610612752,2016-17,-3.1228070175438596,-4.92,-1.7971929824561403,0.40350877192982454,0.32,-0.08350877192982453,57,25
1610612753,2016-17,-6.586206896551724,-6.541666666666667,0.044540229885057236,0.3620689655172414,0.3333333333333333,-0.028735632183908066,58,24
1610612754,2016-17,-0.9122807017543859,1.36,2.272280701754386,0.5087719298245614,0.52,0.011228070175438587,57,25
1610612755,2016-17,-5.607142857142857,-5.884615384615385,-0.27747252747252826,0.375,0.2692307692307692,-0.10576923076923078,56,26
1610612756,2016-17,-5.456140350877193,-6.04,-0.5838596491228074,0.3157894736842105,0.24,-0.07578947368421052,57,25
1610612757,2016-17,-2.8035714285714284,4.384615384615385,7.188186813186814,0.4107142857142857,0.6923076923076923,0.2815934065934066,56,26
1610612758,2016-17,-2.719298245614035,-6.52,-3.8007017543859645,0.42105263157894735,0.32,-0.10105263157894734,57,25
1610612759,2016-17,8.357142857142858,4.6923076923076925,-3.664835164835165,0.7678571428571429,0.6923076923076923,-0.07554945054945061,56,26
1610612760,2016-17,-0.10526315789473684,2.72,2.825263157894737,0.5614035087719298,0.6,0.038596491228070184,57,25
1610612761,2016-17,4.140350877192983,4.36,0.21964912280701743,0.5789473684210527,0.72,0.14105263157894732,57,25
1610612762,2016-17,4.543859649122807,2.56,-1.9838596491228073,0.6140350877192983,0.64,0.025964912280701746,57,25
1610612763,2016-17,1.293103448275862,-1.4583333333333333,-2.751436781609195,0.5862068965517241,0.375,-0.2112068965517241,58,24
1610612764,2016-17,2.8,-0.2222222222222222,-3.022222222222222,0.6181818181818182,0.5555555555555556,-0.06262626262626259,55,27
1610612765,2016-17,-0.43859649122807015,-2.68,-2.24140350877193,0.47368421052631576,0.4,-0.07368421052631574,57,25
1610612766,2016-17,0.25,0.07692307692307693,-0.17307692307692307,0.42857142857142855,0.46153846153846156,0.032967032967033016,56,26
1610612737,2017-18,-4.135593220338983,-8.826086956521738,-4.690493736182756,0.3050847457627119,0.2608695652173913,-0.04421518054532059,59,23
1610612738,2017-18,3.5084745762711864,3.782608695652174,0.2741341193809874,0.6779661016949152,0.6521739130434783,-0.025792188651436954,59,23
1610612739,2017-18,0.19642857142857142,2.5384615384615383,2.3420329670329667,0.6071428571428571,0.6153846153846154,0.008241758241758323,56,26
1610612740,2017-18,0.15789473684210525,3.92,3.7621052631578946,0.543859649122807,0.68,0.136140350877193,57,25
1610612741,2017-18,-5.894736842105263,-9.64,-3.7452631578947377,0.3508771929824561,0.28,-0.0708771929824561,57,25
1610612742,2017-18,-2.3793103448275863,-4.625,-2.2456896551724137,0.3103448275862069,0.25,-0.060344827586206906,58,24
1610612743,2017-18,1.0344827586206897,2.5416666666666665,1.5071839080459768,0.5517241379310345,0.5833333333333334,0.031609195402298895,58,24
1610612744,2017-18,8.10344827586207,0.8333333333333334,-7.270114942528736,0.7586206896551724,0.5833333333333334,-0.175287356321839,58,24
1610612745,2017-18,8.719298245614034,7.92,-0.7992982456140343,0.7719298245614035,0.84,0.0680701754385965,57,25
1610612746,2017-18,0.9107142857142857,-1.8461538461538463,-2.756868131868132,0.5357142857142857,0.46153846153846156,-0.07417582417582413,56,26
1610612747,2017-18,-2.9473684210526314,1.64,4.5873684210526315,0.40350877192982454,0.48,0.07649122807017544,57,25
1610612748,2017-18,-0.896551724137931,3.7916666666666665,4.688218390804598,0.5172413793103449,0.5833333333333334,0.06609195402298851,58,24
1610612749,2017-18,-0.03508771929824561,-0.92,-0.8849122807017544,0.5614035087719298,0.48,-0.08140350877192981,57,25
1610612750,2017-18,2.9344262295081966,0.19047619047619047,-2.743950039032006,0.5901639344262295,0.5238095238095238,-0.06635441061670566,61,21
1610612751,2017-18,-4.254237288135593,-2.4347826086956523,1.819454679439941,0.3220338983050847,0.391304347826087,0.06927044952100225,59,23
1610612752,2017-18,-2.440677966101695,-6.434782608695652,-3.9941046425939573,0.3898305084745763,0.2608695652173913,-0.128960943257185,59,23
1610612753,2017-18,-4.2105263157894735,-6.2,-1.9894736842105267,0.3157894736842105,0.28,-0.03578947368421048,57,25
1610612754,2017-18,1.3103448275862069,1.5416666666666667,0.2313218390804599,0.5689655172413793,0.625,0.05603448275862066,58,24
1610612755,2017-18,1.981818181818182,9.62962962962963,7.647811447811447,0.5454545454545454,0.8148148148148148,0.26936026936026936,55,27
1610612756,2017-18,-8.94915254237288,-10.434782608695652,-1.4856300663227717,0.3050847457627119,0.13043478260869565,-0.17464996315401624,59,23
1610612757,2017-18,1.0517241379310345,6.333333333333333,5.281609195402298,0.5517241379310345,0.7083333333333334,0.1566091954022989,58,24
1610612758,2017-18,-8.035087719298245,-4.6,3.435087719298245,0.3157894736842105,0.36,0.04421052631578948,57,25
