TEAM_ID,TEAM_NAME,TEAM_ABB,SEASON,WINS,VEGAS_WINS,UNDERPERFORMANCE,TANKING,GROUND_TRUTH,BOTTOM8,DELTA_TOP5_MIN_AVG,DELTA_MIN_CONC,DELTA_ROOKIE_MIN_SHARE,DELTA_PM,DELTA_WR,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_CHARGES_DRAWN,DELTA_INACTIVE_RATE,TANK_PROB
1610612737,Atlanta Hawks,ATL,2016-17,43,43.5,-0.5,0,0,0,1.3686285553365245,-0.0164580930134689,0.0,-1.228021978021978,-0.1483516483516483,1.2800000000000011,2.0899999999999963,2.079999999999999,0.2400000000000001,0.1417582417582417,0.16673632801453442
1610612738,Boston Celtics,BOS,2016-17,53,52.5,0.5,0,0,0,-2.132099907493064,0.0280453284630392,-0.018779119068039,-0.3943859649122809,-0.0091228070175438,0.2800000000000011,-0.0499999999999971,0.2699999999999996,-0.4,-0.095438596491228,0.039868267559837155
1610612739,Cleveland Cavaliers,CLE,2016-17,51,56.5,-5.5,0,0,0,-0.5743427415809421,-0.0043950115666551,0.0034355402723815,-6.678114478114479,-0.2646464646464647,-2.799999999999999,3.039999999999999,0.8900000000000006,0.32,0.0553535353535353,0.07026434730815057
1610612740,New Orleans Pelicans,NOP,2016-17,34,36.5,-2.5,0,0,0,0.1363620078105398,-0.0728954340059834,0.0084221381918184,3.4203508771929823,0.0364912280701754,-0.5599999999999987,-2.030000000000001,2.1599999999999993,0.02,-0.223298245614035,0.41021217381273606
1610612741,Chicago Bulls,CHI,2016-17,41,39.0,2.0,0,0,0,1.4235347985347993,-0.0475073492297882,0.0239465975273229,3.5866666666666664,0.0287719298245614,-0.2299999999999986,0.3900000000000005,1.96,0.24,0.0522105263157894,0.21293068848698046
1610612742,Dallas Mavericks,DAL,2016-17,33,39.5,-6.5,0,0,0,-1.2369241279193872,-0.0145749720812785,-0.0172829209814658,-2.021978021978022,0.0302197802197802,0.0299999999999993,0.3999999999999986,1.8200000000000005,-0.4199999999999999,-0.1359890109890109,0.2976809123005409
1610612743,Denver Nuggets,DEN,2016-17,40,37.0,3.0,0,0,0,1.3916189327705766,0.0961482851149779,-0.0306710788399136,5.332417582417583,0.1304945054945054,0.33,0.7999999999999972,0.4299999999999997,-0.04,-0.048076923076923,0.011190020665187091
1610612744,Golden State Warriors,GSW,2016-17,67,66.5,0.5,0,0,0,-0.7034685086155683,-0.0919295604539829,-0.0196097464053431,-3.7445054945054945,-0.070054945054945,0.1499999999999985,-3.5200000000000102,2.0600000000000005,-0.06,0.2098901098901099,0.5379640335607305
1610612745,Houston Rockets,HOU,2016-17,55,44.0,11.0,0,0,0,-0.764461090303783,-0.003139805095695,-0.0594366902395896,-2.3232758620689653,-0.0646551724137931,1.7799999999999994,-1.999999999999993,2.0900000000000007,0.2299999999999999,0.0206896551724137,0.049103601845949175
1610612746,Los Angeles Clippers,LAC,2016-17,51,53.5,-2.5,0,0,0,0.9297872340425536,0.0703711854198182,0.0,1.5425824175824174,-0.0096153846153845,-1.7599999999999998,-1.9299999999999995,1.2300000000000004,0.31,-0.0837912087912088,0.04388009025491159
