TEAM_ID,TEAM_NAME,TEAM_ABB,SEASON,WINS,VEGAS_WINS,UNDERPERFORMANCE,GROUND_TRUTH,TANK_PROB,DELTA_PM,DELTA_MIN_CONC,DELTA_ROOKIE_MIN_SHARE,DELTA_INACTIVE_RATE,TWI_PM,TWI_MIN_CONC,TWI_ROOKIE,TWI_INACTIVE,TWI,TWI_FLAG
1610612737,Atlanta Hawks,ATL,2016-17,43,43.5,-0.5,0,0.16673632801453442,-1.228021978021978,-0.0164580930134689,0.0,0.1417582417582417,57.73484120436919,36.47862336267503,53.21778533133765,68.94168348693397,50.57031134959818,Above Win Gate
1610612738,Boston Celtics,BOS,2016-17,53,52.5,0.5,0,0.039868267559837155,-0.3943859649122809,0.0280453284630392,-0.018779119068039,-0.095438596491228,54.03567254021296,26.845804577446486,46.77912885144402,43.078353683999225,39.51695284610983,Above Win Gate
1610612739,Cleveland Cavaliers,CLE,2016-17,51,56.5,-5.5,0,0.07026434730815057,-6.678114478114479,-0.0043950115666551,0.0034355402723815,0.0553535353535353,81.9190307979661,33.8675549613399,54.3957033985569,59.52033776089891,52.714036376020346,Above Win Gate
1610612740,New Orleans Pelicans,NOP,2016-17,34,36.5,-2.5,0,0.41021217381273606,3.4203508771929823,-0.0728954340059834,0.0084221381918184,-0.223298245614035,37.10819488041415,48.694553294894256,56.10542103175785,29.136868214986798,43.947918143389465,Above Win Gate
1610612741,Chicago Bulls,CHI,2016-17,41,39.0,2.0,0,0.21293068848698046,3.5866666666666664,-0.0475073492297882,0.0239465975273229,0.0522105263157894,36.3701867484472,43.19927199203527,61.42817660592702,59.17763218389063,48.67490790446708,Above Win Gate
1610612742,Dallas Mavericks,DAL,2016-17,33,39.5,-6.5,0,0.2976809123005409,-2.021978021978022,-0.0145749720812785,-0.0172829209814658,-0.1359890109890109,61.25793434374054,36.07101958551296,47.29211912912508,38.656841358869364,43.869786800552184,No Action
1610612743,Denver Nuggets,DEN,2016-17,40,37.0,3.0,0,0.011190020665187091,5.332417582417583,0.0961482851149779,-0.0306710788399136,-0.048076923076923,28.623607928179656,12.104838188767943,42.70182130754919,48.242548066070825,28.75553073586711,Above Win Gate
1610612744,Golden State Warriors,GSW,2016-17,67,66.5,0.5,0,0.5379640335607305,-3.7445054945054945,-0.0919295604539829,-0.0196097464053431,0.2098901098901099,68.90146167379532,52.81451272105863,46.494337852018916,76.3706061850151,59.479086230589324,Above Win Gate
1610612745,Houston Rockets,HOU,2016-17,55,44.0,11.0,0,0.049103601845949175,-2.3232758620689653,-0.003139805095695,-0.0594366902395896,0.0206896551724137,62.594910567314166,33.59586402002233,32.83917069195955,55.74067791386989,43.67329744263766,Above Win Gate
1610612746,Los Angeles Clippers,LAC,2016-17,51,53.5,-2.5,0,0.04388009025491159,1.5425824175824174,0.0703711854198182,0.0,-0.0837912087912088,45.440587117670226,17.684322235928594,53.21778533133765,44.34835471627022,35.67507432742706,Above Win Gate
1610612747,Los Angeles Lakers,LAL,2016-17,26,24.5,1.5,0,0.2875032560802962,-2.057471264367817,-0.0398310374927919,0.0685812050240727,0.1367816091954023,61.41543172625868,41.53772513904912,76.73171154519757,68.39904434287689,57.92432757848628,No Action
1610612748,Miami Heat,MIA,2016-17,41,34.5,6.5,0,0.025862706817591622,6.76,0.0420898177885986,0.013154163538911,-0.136140350877193,22.288867032183372,23.805858071859166,57.72785526595647,38.640339648858046,33.253755618143245,Above Win Gate
1610612749,Milwaukee Bucks,MIL,2016-17,42,34.5,7.5,0,0.09487321591623867,-1.383838383838384,-0.0114212427464346,0.007479820161406,0.0742087542087542,58.426259469287245,35.38839110050429,55.782335477496595,61.5762620613997,49.31232784183843,Above Win Gate
1610612750,Minnesota Timberwolves,MIN,2016-17,31,41.5,-10.5,0,0.6939916271305661,-0.7052631578947369,-0.0831772517187096,0.0159591820668937,0.151859649122807,55.415156094902216,50.920065031373355,58.689591045786294,70.04311482165005,57.197598405017054,No Action
1610612751,Brooklyn Nets,BKN,2016-17,20,21.5,-1.5,0,0.3771449749371477,6.365384615384615,-0.0662398249919874,0.0028848454415851,-0.0491758241758241,24.039929656886837,47.253938766615796,54.206890769598935,48.12272673223081,44.17548493838964,No Action
1610612752,New York Knicks,NYK,2016-17,31,38.5,-7.5,0,0.8879808784397425,-1.7971929824561403,-0.1897889366442584,-0.0378623620198727,0.2727017543859649,60.26047530730968,73.99629169448055,40.2361996839983,83.21942545701745,66.34173676745732,Investigate
1610612753,Orlando Magic,ORL,2016-17,29,37.5,-8.5,0,0.44829192573172844,0.0445402298850572,0.0554570537608668,0.050490332981604,-0.2100574712643678,52.08798553996575,20.912503864290695,70.52902918927111,30.58060800670996,39.00452609290564,No Action
1610612754,Indiana Pacers,IND,2016-17,42,44.5,-2.5,0,0.1431855886084017,2.272280701754386,0.0597533238209501,0.0351699739796446,-0.0842105263157894,42.202630761839984,19.982571073324692,65.2762519740637,44.302633417831274,38.34933166007687,Above Win Gate
1610612755,Philadelphia 76ers,PHI,2016-17,28,23.5,4.5,1,0.39558613684035765,-0.2774725274725282,-0.1152197209738075,0.0594022193055721,0.1554945054945055,53.516881944083785,57.85569581042586,73.58458117869064,70.4394501599342,62.65046098071206,Investigate
1610612756,Phoenix Suns,PHX,2016-17,24,29.5,-5.5,0,0.7223384481657883,-0.5838596491228074,-0.185996971378801,0.0527854990517894,0.2286315789473684,54.87644129814997,73.17551627923943,71.31595565992662,78.41412750172667,70.19151140365642,Investigate
1610612757,Portland Trail Blazers,POR,2016-17,41,45.5,-4.5,0,0.2790997005514642,7.188186813186814,-0.0135702364354053,0.004111176741279,-0.023076923076923,20.38883486366289,35.85354335373907,54.627353835020834,50.96848341093124,39.538351763418625,Above Win Gate
1610612758,Sacramento Kings,SAC,2016-17,32,33.5,-1.5,0,0.7962479148671299,-3.800701754385965,-0.218202129992105,0.082584513314347,0.2799999999999999,69.15082643290305,80.146361364381,81.53292140687711,84.01520728400827,78.99833557051008,Investigate
1610612759,San Antonio Spurs,SAS,2016-17,61,57.5,3.5,0,0.07269395956316761,-3.664835164835165,-0.0289628597974497,0.0008268395373861,-0.0098901098901098,68.54793329648817,39.18529508330257,53.501277636058376,52.40633941701146,50.56522810323263,Above Win Gate
1610612760,Oklahoma City Thunder,OKC,2016-17,47,45.0,2.0,0,0.10261569950600194,2.825263157894737,-0.0442462648947806,0.00350449313628,-0.135578947368421,39.74883157200896,42.49340638889152,54.4193447526768,38.701553635549665,43.5713085476037,Above Win Gate
1610612761,Toronto Raptors,TOR,2016-17,51,50.5,0.5,0,0.39014107595686404,0.2196491228070174,-0.0903397758549094,0.082073015076292,-0.1880701754385965,51.31095897282444,52.470401943901734,81.35754782130182,32.97804587988483,54.117471312362916,Above Win Gate
1610612762,Utah Jazz,UTA,2016-17,51,47.5,3.5,0,0.026474275040192993,-1.983859649122807,0.0373102754599056,-0.0506478984593703,-0.0359298245614035,61.08878823179579,24.84039572314812,35.85251817333606,49.56703627330907,39.23782682494743,Above Win Gate
1610612763,Memphis Grizzlies,MEM,2016-17,43,42.5,0.5,0,0.05285767086565054,-2.751436781609195,-0.0210167802514329,-0.036199093662031,-0.0172413793103448,64.49482783560897,37.465356665529555,40.80647209939855,51.60477601132306,46.36735785547794,Above Win Gate
1610612764,Washington Wizards,WAS,2016-17,49,42.5,6.5,0,0.06427222851613039,-3.022222222222222,0.0022562853790721,0.0038918308680965,0.0375757575757575,65.69640862251487,32.42787378539357,54.55214835160132,57.581894848998175,48.5372398787803,Above Win Gate
1610612765,Detroit Pistons,DET,2016-17,37,44.5,-7.5,0,0.2215514254172647,-2.24140350877193,-0.041256430936958,0.0194690886307866,-0.0022456140350877,62.23161095091759,41.84625325418636,59.89300652867189,53.23987547480521,51.81139989255348,Above Win Gate
1610612766,Charlotte Hornets,CHA,2016-17,36,42.5,-6.5,0,0.38476739504832425,-0.173076923076923,-0.0017673707363569,0.0245266655524873,-0.0461538461538461,53.0536378634744,33.29879896211204,61.62706020294092,48.45223540029085,45.94610627818605,Above Win Gate
1610612737,Atlanta Hawks,ATL,2017-18,24,25.5,-1.5,0,0.5749946229747601,-4.690493736182756,-0.1982748079027321,-0.0750319814429232,0.159174649963154,73.09918106840155,75.83306867376982,27.492129523608433,70.84072359518547,64.61963430694702,Investigate
1610612738,Boston Celtics,BOS,2017-18,55,53.5,1.5,0,0.7253019941332035,0.2741341193809874,-0.2087030978284764,-0.0271037097620061,0.2929992630803242,51.06918775754158,78.0902844958734,43.92493853399743,85.43261331152007,67.32146171896119,Above Win Gate
1610612739,Cleveland Cavaliers,CLE,2017-18,50,53.5,-3.5,0,0.13007001049264327,2.3420329670329667,-0.0324274454782331,-0.0057171442864289,-0.1958791208791208,41.893112710898386,39.93520879603814,51.25759071449046,32.126578664588365,41.0295399364107,Above Win Gate
1610612740,New Orleans Pelicans,NOP,2017-18,48,39.5,8.5,0,0.15035867365489602,3.7621052631578946,-0.1389884354749079,0.0409029960991533,-0.0040701754385964,35.59169715776477,63.00046248118159,67.2418905051049,53.04093001805751,56.375088528658075,Above Win Gate
1610612741,Chicago Bulls,CHI,2017-18,27,22.0,5.0,0,0.7059145264775307,-3.7452631578947377,-0.1522255892173142,-0.0564736580273483,0.1764210526315789,68.9048237222474,65.86566023457496,33.85508344507429,72.72122673940765,61.44249087517585,Investigate
1610612742,Dallas Mavericks,DAL,2017-18,24,35.5,-11.5,1,0.8695043530974048,-2.2456896551724137,-0.1573161129586199,0.0392878829312619,0.2086206896551724,62.25063025695202,66.96751018442177,66.68812870048947,76.23219188557924,67.82119424237285,Investigate
1610612743,Denver Nuggets,DEN,2017-18,46,45.5,0.5,0,0.1598472032253918,1.5071839080459768,0.0111412109327717,-0.0104908369041566,0.0428160919540229,45.597664133509035,30.504721026808184,49.62087033400872,58.15328735702221,42.876252775631265,Above Win Gate
1610612744,Golden State Warriors,GSW,2017-18,58,67.5,-9.5,0,0.8587785246735345,-7.270114942528736,-0.1761359572042228,0.0865023263244866,0.2169540229885057,84.54596813355238,71.04108797168955,82.87619273038018,77.1408370005327,77.32903476156888,Above Win Gate
1610612745,Houston Rockets,HOU,2017-18,65,55.5,9.5,0,0.03826632955618112,-0.7992982456140343,0.0026375044762287,0.0036721749290602,-0.0103859649122807,55.832426515508004,32.345358456042625,54.47683655821531,52.35227266777698,45.470450530717116,Above Win Gate
1610612746,Los Angeles Clippers,LAC,2017-18,42,43.5,-1.5,0,0.02299290857996505,-2.756868131868132,0.0786284125004298,0.0,-0.2035714285714285,64.51892885855658,15.897035562296091,53.21778533133765,31.287829327708234,36.16372292843893,Above Win Gate
1610612747,Los Angeles Lakers,LAL,2017-18,35,33.5,1.5,0,0.22727225398256087,4.5873684210526315,-0.1191906633501178,-0.0391403068530399,0.0352280701754385,31.92968212319461,58.715211035289485,39.79804027134392,57.32590908646965,49.29681071031743,Above Win Gate
1610612748,Miami Heat,MIA,2017-18,44,43.5,0.5,0,0.30448902393615024,4.688218390804598,-0.0371875973220843,0.0390581329056369,0.0810344827586206,31.482171408661113,40.96554935370054,66.60935602292741,62.320521849739855,48.46862959774589,Above Win Gate
1610612749,Milwaukee Bucks,MIL,2017-18,44,47.5,-3.5,0,0.18025281971525212,-0.8849122807017544,-0.1187929920247983,-0.1422466289259772,0.1152280701754386,56.21232943576102,58.629134601483,4.446744700574578,66.048902190023,48.79324910586492,Above Win Gate
1610612750,Minnesota Timberwolves,MIN,2017-18,47,48.5,-1.5,0,0.13229129105573192,-2.743950039032006,-0.0926262403377676,-0.0076222201695727,0.1156908665105386,64.46160623397154,52.96530991482843,50.604411556551746,66.09936430551583,57.419200385139206,Above Win Gate
1610612751,Brooklyn Nets,BKN,2017-18,28,27.5,0.5,0,0.22505098742400656,1.819454679439941,-0.0022311546693045,-0.0044610149445409,-0.0128224023581429,44.21199672698296,33.39918554888139,51.68827041237345,52.08660982980828,42.95704961338549,No Action
1610612752,New York Knicks,NYK,2017-18,29,30.5,-1.5,0,0.8901627743232875,-3.9941046425939577,-0.2873198817830059,0.0227262500935409,0.363448784082535,70.00903060398674,95.10698137413928,61.00976518397619,93.11424688465658,82.86940108417961,Investigate
1610612753,Orlando Magic,ORL,2017-18,25,33.5,-8.5,0,0.8670233529136034,-1.9894736842105267,-0.1699676482347472,0.0,0.1817543859649122,61.113699898697625,69.70595012064538,53.21778533133765,73.30275961297787,65.40922901686079,Investigate
1610612754,Indiana Pacers,IND,2017-18,48,31.5,16.5,0,0.016310934075127185,0.2313218390804599,0.0031870098629493,-0.0334198836929807,-0.0083333333333333,51.25916257057541,32.22641735811872,41.759359091135344,52.57608630661815,42.00948853691327,Above Win Gate
1610612755,Philadelphia 76ers,PHI,2017-18,52,39.5,12.5,0,0.012483925591995971,7.647811447811447,0.0229047352965746,-0.0662877207292544,-0.0056565656565656,18.34930079970688,27.958492114230076,30.490208970357592,52.86795413142139,31.524889625989204,Above Win Gate
1610612756,Phoenix Suns,PHX,2017-18,21,28.5,-7.5,0,0.49249795044598094,-1.4856300663227715,-0.0940941161610444,0.0347540168359356,0.0675018422991893,58.87794893111048,53.28303339171452,65.1336358508581,60.84495773223377,58.28452185952628,No Action
1610612757,Portland Trail Blazers,POR,2017-18,49,42.5,6.5,0,0.027027453613358267,5.281609195402298,0.0328951864383613,-0.0017476689611633,-0.0764367816091954,28.84906459052101,25.796047020377888,52.61857511062743,45.15026243613632,35.64199923560811,Above Win Gate
1610612758,Sacramento Kings,SAC,2017-18,27,27.5,-0.5,0,0.17072765702946804,3.435087719298245,-0.0614226236055141,0.0476686921944392,0.0882807017543859,37.04280175479682,46.21124976724653,69.56159425942231,63.11063082882609,52.427505275507656,No Action
1610612759,San Antonio Spurs,SAS,2017-18,47,55.0,-8.0,0,0.16210228365360602,-0.6934414148857777,0.0091845126338585,-0.0176623284502405,-0.0480471628592483,55.362698402807894,30.928250712963777,47.16203452033723,48.245793043240035,42.525405478462545,Above Win Gate
1610612760,Oklahoma City Thunder,OKC,2017-18,48,53.5,-5.5,0,0.21728177405379034,0.0280029476787033,-0.0230281999097093,-0.0052711137375188,0.105526897568165,52.161367921683954,37.90073085534214,51.410517881817405,64.99111141815264,48.87289178646766,Above Win Gate
1610612761,Toronto Raptors,TOR,2017-18,59,48.5,10.5,0,0.01215497938905479,-2.331228070175438,0.0154808914607037,0.0072764728330006,-0.0362105263157894,62.630197621346994,29.565391988176387,55.71261529579038,49.53642927996327,45.40200523469069,Above Win Gate
1610612762,Utah Jazz,UTA,2017-18,48,40.5,7.5,0,0.006594163978500676,8.522988505747128,0.0830026922638985,0.0067664939443401,-0.0991379310344827,14.46579829094697,14.950217477766813,55.537762638209045,42.67498781264238,28.515796739466403,Above Win Gate
1610612763,Memphis Grizzlies,MEM,2017-18,22,37.5,-15.5,0,0.974054053309209,-7.862637362637362,-0.1938190181081781,0.0031129524248861,0.2909340659340659,87.17522159046538,74.86860764556175,54.28510010949494,85.20742955571646,75.28099330936007,Investigate
1610612764,Washington Wizards,WAS,2017-18,43,48.5,-5.5,0,0.23663708210422132,-4.294736842105263,-0.0433026553203436,0.0607230597085795,0.0682105263157894,71.34305312026477,42.289160968360065,74.03744787541461,60.9222308046013,58.17621074740016,Above Win Gate
1610612765,Detroit Pistons,DET,2017-18,39,38.5,0.5,0,0.020745078686545387,-0.1347368421052631,0.0056627984627687,0.0103035713654763,-0.1108771929824561,52.88350794600295,31.690529955726877,56.75049399024803,41.39496904998016,42.88200617953698,Above Win Gate
1610612766,Charlotte Hornets,CHA,2017-18,36,42.5,-6.5,0,0.1762777424147468,2.8540350877192986,-0.0225455366981874,0.0186522224241107,-0.0467368421052631,39.62115927913704,37.79625782615401,59.612933705459895,48.38866702949573,44.64305513328014,Above Win Gate
1610612737,Atlanta Hawks,ATL,2018-19,29,23.5,5.5,0,0.024873333412591604,5.218390804597702,-0.0343216251527264,0.0010311794662878,0.0158045977011494,29.129589287853126,40.345206251193105,53.57133814329288,55.20802388096613,43.71987276289967,No Action
1610612738,Boston Celtics,BOS,2018-19,49,59.0,-10.0,0,0.126022447696699,-6.747126436781609,0.0099414266078866,-0.0149945900792091,0.0235632183908045,82.22526381925941,30.76441577834716,48.076702076736936,56.05400381557798,49.57696025365374,Above Win Gate
1610612739,Cleveland Cavaliers,CLE,2018-19,19,30.5,-11.5,0,0.3738022682339756,3.1594827586206904,-0.0222450715091858,0.0140422730929569,-0.0827586206896551,38.26576863505595,37.731221776769594,58.032354764271346,44.46094545237852,43.244302481049,No Action
1610612740,New Orleans Pelicans,NOP,2018-19,33,45.5,-12.5,0,0.8561723649404818,-7.518791451731761,-0.1901979627819599,0.0,0.1525423728813559,85.64944295456463,74.08482589100251,53.21778533133765,70.11755725461822,71.43088746450512,Investigate
1610612741,Chicago Bulls,CHI,2018-19,22,30.0,-8.0,0,0.803460696502791,0.1149425287356322,-0.2016135267365026,0.0461251685950484,0.1106321839080459,51.77558303611862,76.5557383569877,69.0323778361663,65.54777863733324,67.89344324471872,Investigate
1610612742,Dallas Mavericks,DAL,2018-19,33,35.5,-2.5,0,0.038469809076878116,-4.084912280701754,-0.078978115928916,-0.0205214999181157,-0.0485614035087719,70.4119795698086,50.011157069341685,46.18173172593762,48.18972157274802,52.96114940143553,No Action
1610612743,Denver Nuggets,DEN,2018-19,54,47.5,6.5,0,0.0020606791488791327,-3.094736842105263,0.1520723845743958,-0.0481545807370425,-0.263719298245614,66.01818431999695,0.0,36.70738342293245,24.72946117319142,25.491005783224168,Above Win Gate
1610612744,Golden State Warriors,GSW,2018-19,57,62.5,-5.5,0,0.058510161088735156,-2.105263157894737,0.0597084076687867,0.0203768333025176,-0.128140350877193,61.62750302854803,19.992293228160545,60.20423817332752,39.512638959213376,40.265793323482,Above Win Gate
1610612745,Houston Rockets,HOU,2018-19,53,56.5,-3.5,0,0.021545980182679017,8.792280701754386,0.0764086313096072,0.0,-0.1539649122807017,13.270843613718084,16.377509854937617,53.21778533133765,36.69679557139969,27.18808884526613,Above Win Gate
1610612746,Los Angeles Clippers,LAC,2018-19,48,37.0,11.0,0,0.025355007395791822,1.4119380987472367,-0.0060065833203975,-0.0079978415715815,-0.1711127487103905,46.02030699875164,34.216381594172795,50.47562504823534,34.82703983493673,39.95114701405386,Above Win Gate
1610612747,Los Angeles Lakers,LAL,2018-19,37,48.5,-11.5,0,0.7477286757075021,-1.7270175438596491,-0.1891117970366389,-0.0737874809803916,0.2116491228070176,59.949079471036704,73.84972401684836,27.91882211436724,76.56240440430571,62.42595080468128,Above Win Gate
1610612748,Miami Heat,MIA,2018-19,39,43.0,-4.0,0,0.03940637124073204,1.184065934065934,0.0256745165170722,-0.002111116251812,-0.1771978021978021,47.03146481555244,27.358969657605787,52.49396264906538,34.16354133986867,37.681381623939615,Above Win Gate
1610612749,Milwaukee Bucks,MIL,2018-19,60,48.0,12.0,0,0.027986997027069742,-2.9719298245614043,-0.0383103490689333,0.0242739648067413,0.1658947368421052,65.47324160651924,41.20857031162631,61.54041858316225,71.5734644889401,56.20085306037485,Above Win Gate
1610612750,Minnesota Timberwolves,MIN,2018-19,36,41.5,-5.5,0,0.31313225689766994,-5.495438596491228,-0.1902309520559213,0.0053858010106631,0.2392982456140351,76.67103587889534,74.0919664587922,55.064374750739255,79.5771932488671,71.89930735921723,Above Win Gate
1610612751,Brooklyn Nets,BKN,2018-19,42,32.0,10.0,0,0.0017099431397311765,1.249815770081061,0.0706157117583466,-0.0075220284573662,-0.1403095062638172,46.739707106869375,17.631394217607504,50.6387635415779,38.18574572779349,34.16540096229116,Above Win Gate
1610612752,New York Knicks,NYK,2018-19,17,28.5,-11.5,0,0.1086717107169156,-1.7686781609195403,-0.0264252474846435,-9.669088570063432e-05,-0.2419540229885057,60.133943904355135,38.6360258643206,53.18463364858259,27.10269049775012,43.538663955865815,No Action
