TEAM_ID,ROSTER_AGE,SEASON
1610612737,28.453108535300316,2016-17
1610612738,26.244394618834082,2016-17
1610612739,30.387238723872386,2016-17
1610612740,26.71875,2016-17
1610612741,26.432919954904172,2016-17
1610612742,27.82239819004525,2016-17
1610612743,26.08916478555305,2016-17
1610612744,28.95162882527147,2016-17
1610612745,27.594257178526842,2016-17
1610612746,30.752314814814813,2016-17
1610612747,25.844419391206312,2016-17
1610612748,27.255208333333332,2016-17
1610612749,26.309473684210527,2016-17
1610612750,25.015776699029125,2016-17
1610612751,26.40507726269316,2016-17
1610612752,27.50413223140496,2016-17
1610612753,25.92800899887514,2016-17
1610612754,27.804157549234137,2016-17
1610612755,24.67360208062419,2016-17
1610612756,24.851668726823238,2016-17
1610612757,24.69487485101311,2016-17
1610612758,26.86547619047619,2016-17
1610612759,29.253854059609456,2016-17
1610612760,25.37599093997735,2016-17
1610612761,26.329334787350053,2016-17
1610612762,27.196145124716555,2016-17
1610612763,28.82021151586369,2016-17
1610612764,26.478991596638654,2016-17
1610612765,25.976470588235294,2016-17
1610612766,26.89125,2016-17
1610612737,24.97680412371134,2017-18
1610612738,25.360043907793635,2017-18
1610612739,29.36800894854586,2017-18
1610612740,27.92412935323383,2017-18
1610612741,25.032186459489456,2017-18
1610612742,27.915137614678898,2017-18
1610612743,26.451497005988024,2017-18
1610612744,29.392339544513458,2017-18
1610612745,30.471014492753625,2017-18
1610612746,26.608352144469524,2017-18
1610612747,24.7617237008872,2017-18
1610612748,27.442437923250566,2017-18
1610612749,26.172332942555684,2017-18
1610612750,28.146583850931677,2017-18
1610612751,25.458823529411763,2017-18
1610612752,26.382009345794394,2017-18
1610612753,26.01732101616628,2017-18
1610612754,26.745555555555555,2017-18
1610612755,26.778516057585826,2017-18
1610612756,24.015421115065244,2017-18
1610612757,25.42258440046566,2017-18
1610612758,26.8876404494382,2017-18
1610612759,28.97907949790795,2017-18
1610612760,27.681914893617023,2017-18
1610612761,25.796004206098843,2017-18
1610612762,27.05207100591716,2017-18
1610612763,25.659627329192546,2017-18
1610612764,27.872582480091012,2017-18
1610612765,26.996777658431792,2017-18
1610612766,26.276200873362445,2017-18
