TEAM_ID,SEASON,INACTIVE_RATE_PRE,INACTIVE_RATE_POST,DELTA_INACTIVE_RATE,MIN_CONC_PRE,MIN_CONC_POST,DELTA_MIN_CONC,TOP5_MIN_PRE,TOP5_MIN_POST,DELTA_TOP5_MIN_AVG,ROOKIE_MIN_SHARE_PRE,ROOKIE_MIN_SHARE_POST,DELTA_ROOKIE_MIN_SHARE
1610612737,2021-22,0.22758620689655173,0.2,-0.027586206896551724,0.5354979027497281,0.5253886010362694,-0.010109301713458696,30.776785714285715,31.6875,0.9107142857142847,0.059422091036196986,0.0770293609671848,0.01760726993098781
1610612738,2021-22,0.31666666666666665,0.11818181818181818,-0.1984848484848485,0.6421675490501402,0.5657003012048193,-0.07646724784532088,32.73015873015873,30.97938144329897,-1.7507772868597584,0.08727810650887574,0.10881024096385543,0.021532134454979687
1610612739,2021-22,0.3482758620689655,0.3,-0.0482758620689655,0.5270126743609714,0.48,-0.04701267436097145,32.64473684210526,33.142857142857146,0.49812030075188574,0.15386249380443248,0.2210344827586207,0.06717198895418822
1610612740,2021-22,0.2745762711864407,0.17391304347826086,-0.10066322770817981,0.5845311929952572,0.5022050716648291,-0.08232612133042816,32.044,28.768421052631577,-3.2755789473684196,0.04713608172199927,0.07864755604557148,0.031511474323572215
1610612741,2021-22,0.26440677966101694,0.34782608695652173,0.08341930729550479,0.5117495293215257,0.45370871683811587,-0.058040812483409865,33.82027649769585,33.52,-0.3002764976958474,0.00864653789833345,0.05378090597365096,0.04513436807531751
1610612742,2021-22,0.30847457627118646,0.2608695652173913,-0.047605011053795165,0.5460539872243972,0.4968268359020852,-0.049227151322312035,32.056451612903224,32.23529411764706,0.17884250474383379,0.043340888797307506,0.07379873073436083,0.030457841937053323
1610612743,2021-22,0.09655172413793103,0.1,0.0034482758620689724,0.5496500589009771,0.5619749699982857,0.0123249110973086,30.27480916030534,30.35185185185185,0.07704269154650945,0.1304829880119188,0.030173152751585806,-0.10030983526033299
1610612744,2021-22,0.2847457627118644,0.30434782608695654,0.019602063375092127,0.4619289340101523,0.46162221012520416,-0.0003067238849481235,31.0521327014218,31.8,0.7478672985781998,0.0,0.0,0.0
1610612745,2021-22,0.35172413793103446,0.31666666666666665,-0.03505747126436781,0.5256181114089962,0.44517128593561717,-0.080446825473379,30.03404255319149,31.536585365853657,1.502542812662167,0.19682752457551386,0.18557410914098812,-0.011253415434525738
1610612746,2021-22,0.39344262295081966,0.3904761904761905,-0.002966432474629188,0.4476122594440485,0.36850519584332536,-0.07910706360072312,31.117117117117118,28.8125,-2.304617117117118,0.007840342124019958,0.0,-0.007840342124019958
1610612747,2021-22,0.18275862068965518,0.31666666666666665,0.13390804597701148,0.5594317167509669,0.4502954466458116,-0.10913627010515531,31.734177215189874,31.597560975609756,-0.1366162395801176,0.000669443617970842,0.0072992700729927005,0.006629826455021859
1610612748,2021-22,0.26101694915254237,0.17391304347826086,-0.0871039056742815,0.5040609860359077,0.5346265409717187,0.030565554935811035,32.45412844036697,31.042105263157893,-1.412023177209079,0.005129666571672842,0.01649746192893401,0.011367795357261169
1610612749,2021-22,0.18666666666666668,0.14545454545454545,-0.04121212121212123,0.5573309661192484,0.5458373205741627,-0.011493645545085696,30.87704918032787,30.340425531914892,-0.5366236484129772,0.0668737978990975,0.053588516746411484,-0.01328528115268602
1610612750,2021-22,0.11864406779661017,0.17391304347826086,0.05526897568165069,0.5537806919642857,0.4984648726747336,-0.05531581928955209,30.534615384615385,29.05263157894737,-1.4819838056680155,0.244140625,0.18728553368249956,-0.05685509131750044
1610612751,2021-22,0.4440677966101695,0.17391304347826086,-0.2701547531319086,0.5108127662995418,0.5864328386972442,0.07562007239770241,30.844660194174757,32.03157894736842,1.186918753193666,0.0,0.0,0.0
1610612752,2021-22,0.07457627118644068,0.11304347826086956,0.03846720707442888,0.5498288705456009,0.5970689343224173,0.04724006377681633,30.01098901098901,32.35294117647059,2.341952165481576,0.13327964566136502,0.18907182920209878,0.05579218354073376
1610612753,2021-22,0.17333333333333334,0.39090909090909093,0.2175757575757576,0.5523544896168471,0.34488636363636366,-0.20746812598048342,30.45967741935484,27.17910447761194,-3.2805729417429,0.2758847616262065,0.3880681818181818,0.1121834201919753
1610612754,2021-22,0.7333333333333333,0.5272727272727272,-0.20606060606060606,0.5572625698324022,0.3712599226541828,-0.1860026471782194,31.11467889908257,35.07692307692308,3.9622441778405104,0.1958593493263227,0.25320578058212906,0.05734643125580635
1610612755,2021-22,0.3413793103448276,0.05,-0.2913793103448276,0.5666376937563379,0.6513555517181834,0.0847178579618455,33.57510729613734,33.08771929824562,-0.48738799789172305,0.18455743879472694,0.17544465549991367,-0.00911278329481327
1610612756,2021-22,0.1310344827586207,0.26666666666666666,0.13563218390804596,0.5462750909335848,0.4890347090312554,-0.05724038190232944,32.182539682539684,32.18181818181818,-0.0007215007215037872,0.0,0.0,0.0
1610612757,2021-22,0.511864406779661,0.6869565217391305,0.1750921149594694,0.4643411485989707,0.24009957003847024,-0.22424157856050045,30.891304347826086,29.47222222222222,-1.4190821256038646,0.062249816191487624,0.29984159312061553,0.23759177692912792
1610612758,2021-22,0.44666666666666666,0.20909090909090908,-0.23757575757575758,0.5304522482830115,0.5164072754547159,-0.014044972828295643,31.48846153846154,31.655172413793103,0.1667108753315638,0.0,0.0,0.0
1610612759,2021-22,0.29152542372881357,0.17391304347826086,-0.1176123802505527,0.5713396123608625,0.5261926192619262,-0.04514699309893633,29.126984126984127,30.768421052631577,1.6414369256474508,0.15365454970031914,0.20774077407740774,0.0540862243770886
1610612760,2021-22,0.19310344827586207,0.6166666666666667,0.42356321839080463,0.5192123312928683,0.29352101014282755,-0.2256913211500407,30.085470085470085,30.82608695652174,0.7406168710516532,0.08356073456744598,0.20803146346512108,0.1244707288976751
1610612761,2021-22,0.1824561403508772,0.264,0.08154385964912281,0.5834414919051848,0.5447477253928866,-0.03869376651229817,36.65665236051502,35.79347826086956,-0.8631740996454553,0.14399890702916865,0.16674937965260547,0.022750472623436824
1610612762,2021-22,0.1310344827586207,0.175,0.04396551724137929,0.5494151432373748,0.5409892770667589,-0.008425866170615914,31.126984126984127,31.595959595959595,0.4689754689754686,0.05190166001260769,0.03804911795226565,-0.01385254206034204
1610612763,2021-22,0.20666666666666667,0.2636363636363636,0.05696969696969695,0.48128565465423684,0.4253914355781928,-0.05589421907604403,29.067226890756302,27.839506172839506,-1.227720717916796,0.18303882009183248,0.15034899075646105,-0.03268982933537143
1610612764,2021-22,0.2793103448275862,0.38333333333333336,0.10402298850574715,0.5889331274884212,0.37671703296703296,-0.21221609452138823,29.950413223140497,29.64864864864865,-0.30176457449184824,0.1322824408872999,0.15539148351648352,0.023109042629183618
1610612765,2021-22,0.20344827586206896,0.175,-0.028448275862068967,0.5482861041984426,0.5025817555938038,-0.04570434860463879,29.567099567099568,29.494949494949495,-0.07215007215007319,0.3838805490888657,0.3423407917383821,-0.0415397573504836
1610612766,2021-22,0.15666666666666668,0.19090909090909092,0.03424242424242424,0.5366380721629231,0.5372571212978683,0.0006190491349451488,32.391304347826086,32.0,-0.39130434782608603,0.13614039683059392,0.13393699302018486,-0.002203403810409066
