TEAM_ID,DEFLECTIONS_PRE,CONTESTED_SHOTS_PRE,LOOSE_BALLS_RECOVERED_PRE,SCREEN_ASSISTS_PRE,CHARGES_DRAWN_PRE,DEFLECTIONS_POST,CONTESTED_SHOTS_POST,LOOSE_BALLS_RECOVERED_POST,SCREEN_ASSISTS_POST,CHARGES_DRAWN_POST,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_SCREEN_ASSISTS,DELTA_CHARGES_DRAWN,SEASON
1610612761,17.11,63.54,6.7,12.49,0.46,16.84,64.44,7.92,11.04,0.56,-0.2699999999999996,0.8999999999999986,1.2199999999999998,-1.450000000000001,0.10000000000000003,2016-17
1610612762,13.49,61.3,6.18,11.89,0.19,13.12,63.04,7.28,11.16,0.04,-0.370000000000001,1.740000000000002,1.1000000000000005,-0.7300000000000004,-0.15,2016-17
1610612764,18.47,61.73,7.25,11.65,0.65,18.52,62.63,9.22,11.74,0.44,0.05000000000000071,0.9000000000000057,1.9700000000000006,0.08999999999999986,-0.21000000000000002,2016-17
1610612737,14.2,63.05,8.05,11.75,1.12,12.83,66.78,9.26,10.35,0.48,-1.3699999999999992,3.730000000000004,1.209999999999999,-1.4000000000000004,-0.6400000000000001,2017-18
1610612738,13.31,63.34,7.66,9.73,0.8,13.17,61.0,8.43,8.3,0.57,-0.14000000000000057,-2.3400000000000034,0.7699999999999996,-1.4299999999999997,-0.2300000000000001,2017-18
1610612751,12.92,68.32,7.41,9.47,0.71,12.7,66.65,9.96,9.17,0.17,-0.22000000000000064,-1.6699999999999875,2.5500000000000007,-0.3000000000000007,-0.5399999999999999,2017-18
1610612766,12.21,60.7,7.58,10.18,0.68,12.24,64.16,8.16,12.12,0.4,0.02999999999999936,3.4599999999999937,0.5800000000000001,1.9399999999999995,-0.28,2017-18
1610612741,13.14,66.25,7.26,9.14,0.25,15.0,59.6,9.36,9.16,0.12,1.8599999999999994,-6.649999999999999,2.0999999999999996,0.019999999999999574,-0.13,2017-18
1610612739,12.82,60.89,7.59,9.57,0.75,13.27,61.27,7.88,10.12,0.46,0.4499999999999993,0.38000000000000256,0.29000000000000004,0.5499999999999989,-0.29,2017-18
1610612742,12.78,61.17,8.31,9.21,0.76,13.79,63.63,9.29,10.38,0.5,1.0099999999999998,2.460000000000001,0.9799999999999986,1.17,-0.26,2017-18
1610612743,14.53,63.29,7.86,8.66,0.66,14.83,62.54,10.21,7.83,0.63,0.3000000000000007,-0.75,2.3500000000000005,-0.8300000000000001,-0.030000000000000027,2017-18
1610612765,14.05,58.84,8.26,10.91,0.84,13.4,61.68,7.44,11.16,0.72,-0.6500000000000004,2.8399999999999963,-0.8199999999999994,0.25,-0.12,2017-18
1610612744,15.02,68.29,8.24,10.78,0.28,14.71,67.21,8.17,11.21,0.17,-0.3099999999999987,-1.0800000000000125,-0.07000000000000028,0.4300000000000015,-0.11000000000000001,2017-18
1610612745,15.0,58.74,8.14,9.4,0.53,15.0,60.56,9.72,7.92,0.4,0.0,1.8200000000000003,1.58,-1.4800000000000004,-0.13,2017-18
1610612754,15.98,62.21,8.12,9.93,0.52,17.21,61.67,9.42,9.96,0.54,1.2300000000000004,-0.5399999999999991,1.3000000000000007,0.030000000000001137,0.020000000000000018,2017-18
1610612746,14.77,58.79,7.93,8.75,0.84,14.12,59.54,8.73,9.65,0.58,-0.6500000000000004,0.75,0.8000000000000007,0.9000000000000004,-0.26,2017-18
1610612747,14.35,69.89,8.16,7.61,0.46,11.84,67.84,8.6,7.8,0.44,-2.51,-2.049999999999997,0.4399999999999995,0.1899999999999995,-0.020000000000000018,2017-18
1610612763,14.27,58.52,7.5,8.32,0.79,14.69,54.88,8.88,9.04,0.81,0.41999999999999993,-3.6400000000000006,1.3800000000000008,0.7199999999999989,0.020000000000000018,2017-18
1610612748,13.17,63.84,8.34,11.66,0.5,17.54,66.38,9.92,10.75,0.54,4.369999999999999,2.539999999999992,1.58,-0.9100000000000001,0.040000000000000036,2017-18
1610612749,15.26,61.51,8.95,8.56,0.44,16.64,62.76,8.28,8.48,0.28,1.3800000000000008,1.25,-0.6699999999999999,-0.08000000000000007,-0.15999999999999998,2017-18
1610612750,15.31,61.64,9.11,8.61,0.8,14.48,64.67,8.38,7.05,0.43,-0.8300000000000001,3.030000000000001,-0.7299999999999986,-1.5599999999999996,-0.37000000000000005,2017-18
1610612740,14.61,63.77,9.37,8.16,0.82,14.48,66.64,9.2,10.52,0.16,-0.129999999999999,2.8699999999999974,-0.16999999999999993,2.3599999999999994,-0.6599999999999999,2017-18
1610612752,12.95,60.32,7.69,8.86,0.44,12.57,60.22,7.61,9.17,0.26,-0.379999999999999,-0.10000000000000142,-0.08000000000000007,0.3100000000000005,-0.18,2017-18
